Handle,Title,Variant Price,Collection,Type,Vendor,Variant Grams,Variant Weight Unit,Variant Inventory Qty,Status,Image Src,product.metafields.custom.band,Case Diameter (mm) 2,Dial Color 3,Gender 4,Lug Width 5,New 6,Movement 7,Caliber 8,Booklet 9,Collection 10,Tags,Body (HTML),product.metafields.custom.movement_value_1,product.metafields.custom.movement_value_2,product.metafields.custom.movement_value_3,product.metafields.custom.case_thickness_mm,product.metafields.custom.case_length_mm,product.metafields.custom.web_case_material,product.metafields.custom.web_strap,product.metafields.custom.web_water_resistance,product.metafields.custom.case_cross_reference,product.metafields.custom.feature_1,product.metafields.custom.feature_2,product.metafields.custom.feature_3,product.metafields.custom.feature_4,product.metafields.custom.feature_5
SRPB46,SRPB46,525,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPB46_1_59e09334-2f24-4fc4-8e91-b8814379fc5e.png?v=1757427977,Leather Strap,40.5,Burgundy,Men's,20,,Automatic,4R35,JSY4RCC2,Presage,"Leather Strap, 40.5, Burgundy, Men's, 20, Automatic, 4R35, JSY4RCC2, Presage","<p>Seiko Presage Automatic. This refine men's watch is designed with a rose gold-finish stainless steel case and brown leather strap. The dial features a burgundy deep, pressed pattern whose shimmering beauty is enhanced by seven layers of gloss finish and the clarity of the box-shaped crystals. The hands are delicately curved by skilled craftsmen and women to give the watch case a slimmer profile. When turning the uniquely shaped crown, you can feel the strong torque of the winding mechanism. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 23 jewels. 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.8,47.5,Stainless steel case with rose gold finish,Brown leather strap,"5 bar, 50 meters (165 feet)",Cocktail1,Automatic,Manual and automatic winding capabilities,Rose Gold highlights,Date calendar,Dial with pressed pattern and gloss finish
SRPB77,SRPB77,475,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPB77_1_ba4c073f-00f4-4afb-b0bc-e27f097ddeb3.png?v=1757427974,Stainless Steel,40.5,Silver,Men's,20,,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 40.5, Silver, Men's, 20, Automatic, 4R35, JSY4RCC2, Presage","<p>Seiko Presage Automatic. This refine men's watch is designed with a stainless steel case and bracelet. The dial features a silver deep, pressed pattern whose shimmering beauty is enhanced by seven layers of gloss finish and the clarity of the box-shaped crystals. The blue hands are delicately curved by skilled craftsmen and women to give the watch case a slimmer profile. When turning the uniquely shaped crown, you can feel the strong torque of the winding mechanism. Automatic movement allows self and automatic winding capabilities and features 21,600 vibrations per hour, with a power reserve of approximately 41 hours, as well as 23 jewels. 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.8,47.5,Stainless steel Case,Stainless steel bracelet,"5 bar, 50 meters (165 feet)",Cocktail1,Automatic,Manual and automatic winding capabilities,Date calendar,Dial with pressed pattern and gloss finish,"Blue hour, minute, and second hands"
SRPD37,SRPD37,450,Presage,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD37_1_5faf7f5d-6a5a-4a3f-8c91-b484f82a62c1.png?v=1757428013,Leather Strap,40.5,Green,Men's,20,,Automatic,4R35,JSY4RCC2,Presage,"Leather Strap, 40.5, Green, Men's, 20, Automatic, 4R35, JSY4RCC2, Presage","<p>From the Presage Collection. Offering the finest in Japanese mechanical watchmaking, the Presage Collection blends precision technology with superior craftsmanship and design. Inspired by classic cocktails, this sophisticated design features a rich green dial with pressed pattern and gloss finish, gold second hand and date calendar. The screwdown see-through caseback provides a view of the 23-jewel movement, with manual and automatic winding capability, a frequency of 21,600 vibrations per hour, and a power reserve of approximately 41 hours. Crafted of stainless steel, this elegant timepiece includes a box-shaped crystal, brown leather strap and tri-fold push button release clasp. 5 bar, 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.8,47.5,Stainless steel case,Smooth Brown leather strap with contrast stitching,"5 bar, 50 meters (165 feet)",Cocktail1,From the Presage Collection,Fine mechanical watchmaking from Japan,Manual and automatic winding capabilities,Green dial with pressed pattern and gloss finish,Gold second hand
SRPD51,SRPD51,350,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD51_1_f6d6800e-4af6-46af-a2ac-5424adf62179.png?v=1757428039,Stainless Steel,42.5,Blue,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Blue, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a blue sunray dial framed by a blue rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Blue sunray dial,Blue unidirectional rotating bezel,Day/date calendar
SRPD55,SRPD55,350,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD55_1_002a37a5-1afe-4af9-bbeb-5df30d044800.png?v=1757428040,Stainless Steel,42.5,Black,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Black, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a black dial framed by a black rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black dial and unidirectional rotating bezel,Day/date calendar,LumiBrite hands and markers
SRPD59,SRPD59,350,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD59_1_207c8c4f-22b7-4980-a018-efddee33994b.png?v=1757428050,Stainless Steel,42.5,Orange,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Orange, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and an orange sunray dial framed by a black and gold rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Orange sunray dial with gold and black accents,Black and gold unidirectional rotating bezel,Day/date calendar
SRPD61,SRPD61,350,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD61_1_04966806-f88f-42b2-88ea-de87283b997d.png?v=1757428051,Stainless Steel,42.5,Green,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Green, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a vibrant green sunray dial framed by a green rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Green sunray dial,Green unidirectional rotating bezel,Day/date calendar
SRPD63,SRPD63,350,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD63_1_11135ebe-f28f-4d27-aa54-3c33f2c2bbc0.png?v=1757428047,Stainless Steel,42.5,Green,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Green, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a green dial with rose gold accents framed by a green rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black dial with rose gold accents,Green unidirectional rotating bezel,Day/date calendar
SRPD65,SRPD65,395,Seiko 5 Sports,Watch,Seikousa ,200,g,10,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD65_1_a4156ebe-4198-4885-a660-8a17a2b570a7.png?v=1757428040,Stainless Steel,42.5,Black,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Black, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a black ion finished stainless steel case and bracelet and a black dial framed by a black rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case with black hard coating,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black dial and unidirectional rotating bezel,Day/date calendar,LumiBrite hands and markers
SRPD71,SRPD71,395,Seiko 5 Sports,Watch,Seikousa ,200,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD71_1.png?v=1757428046,Mesh,42.5,Blue,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Mesh, 42.5, Blue, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and contemporary mesh bracelet, and blue sunray dial framed by a blue rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Stainless steel mesh bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Blue sunray dial,Blue unidirectional rotating bezel,Day/date calendar
SRPD89,SRPD89,350,Seiko 5 Sports,Watch,Seikousa ,300,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD89_1.png?v=1757427881,Nylon Strap,42.5,Black,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Nylon Strap, 42.5, Black, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a stainless steel case, black nylon strap and a black dial framed by a black rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Black nylon strap,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black dial and unidirectional rotating bezel,Day/date calendar,LumiBrite hands and markers
SRPD91,SRPD91,375,Seiko 5 Sports,Watch,Seikousa ,300,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD91_1.png?v=1757428045,Nylon Strap,42.5,Black,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Nylon Strap, 42.5, Black, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a black ion finished stainless steel case and dark green nylon strap and a black dial framed by a black rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case with black hard coating,Green nylon strap,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black dial and unidirectional rotating bezel,Day/date calendar,LumiBrite hands and markers
SRPD93,SRPD93,350,Seiko 5 Sports,Watch,Seikousa ,300,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD93_1.png?v=1757428042,Silicone,42.5,Blue,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Silicone, 42.5, Blue, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and silicone strap and a blue sunray dial framed by a blue rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Black silicone strap,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Blue sunray dial,Blue unidirectional rotating bezel,Day/date calendar
SRPD95,SRPD95,350,Seiko 5 Sports,Watch,Seikousa ,300,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPD95_1.png?v=1757428043,Silicone,42.5,Black,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Silicone, 42.5, Black, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and silicone strap and a black sunray dial framed by a black rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case,Black silicone strap,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Black sunray dial,Black unidirectional rotating bezel,Day/date calendar
SRPE03,SRPE03,650,Prospex,Watch,Seikousa ,300,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE03_1_d2ae1884-752d-4654-b023-8d88ddff5170.png?v=1757428018,Stainless Steel,45,Black,Men's,22,,Automatic,4R36,4R3CD_2306,Prospex,"Stainless Steel, 45, Black, Men's, 22, Automatic, 4R36, 4R3CD_2306, Prospex","<p>Prospex Automatic Diver. Designed for those who treat life as the ultimate adventure, the Seiko Prospex line meets every challenge with technological excellence and winning design. Upgrading an iconic style with a ceramic bezel and a sapphire crystal with anti-reflective coating on the inner surface, this rugged, yet distinctive, timepiece offers a three-dimensional pressed pattern on the rich black dial, mirroring the shape of the bezel edge. LumiBrite hands and markers, and a magnified day/date window ensure legibility in rough conditions. The 24-jewel automatic movement beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 41 hours, and can be wound manually or automatically. In stainless steel, with black ceramic one-way rotating elapsed timing bezel, secure screwdown crown and caseback, this high-intensity watch follows ISO standards for scuba diving. 200m Water Resistant</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.22,47.7,Stainless steel case,Stainless steel bracelet,"200 meters (660 feet), follows ISO standards and is suitable for scuba diving",Turtle1,Prospex Automatic Diver,Manual and automatic winding capabilities,Black ceramic one-way rotating elapsed timing bezel,Black dial with 3-D pressed pattern,Magnified day/date calendar
SRPE51,SRPE51,315,Seiko 5 Sports,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE51_1.png?v=1757428080,Stainless Steel,40,Gray,Men's,20,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 40, Gray, Men's, 20, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a gray sunray dial, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,11.5,44.6,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Solid,Seiko 5 Sports,Manual and automatic winding capabilities,Gray sunray dial,Day/date calendar,LumiBrite hands and markers
SRPE53,SRPE53,315,Seiko 5 Sports,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE53_1.png?v=1757428081,Stainless Steel,40,Blue,Men's,20,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 40, Blue, Men's, 20, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a blue sunray dial, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,11.5,44.6,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Solid,Seiko 5 Sports,Manual and automatic winding capabilities,Blue sunray dial,Day/date calendar,LumiBrite hands and markers
SRPE55,SRPE55,315,Seiko 5 Sports,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE55_1.png?v=1757428082,Stainless Steel,40,Black,Men's,20,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 40, Black, Men's, 20, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a black sunray dial, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,11.5,44.6,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Solid,Seiko 5 Sports,Manual and automatic winding capabilities,Black sunray dial,Day/date calendar,LumiBrite hands and markers
SRPE57,SRPE57,315,Seiko 5 Sports,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE57_1.png?v=1757428082,Stainless Steel,40,Black,Men's,20,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 40, Black, Men's, 20, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a durable stainless steel case and bracelet and a black sunray dial with gold accents, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,11.5,44.6,Stainless steel case,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Solid,Seiko 5 Sports,Manual and automatic winding capabilities,Black sunray dial with gold accents,Day/date calendar,LumiBrite hands and markers
SRPE74,SRPE74,450,Seiko 5 Sports,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE74_1.png?v=1757428063,Stainless Steel,42.5,Gold,Men's,22,,Automatic,4R36,JSY4RCC2,Seiko 5 Sports,"Stainless Steel, 42.5, Gold, Men's, 22, Automatic, 4R36, JSY4RCC2, Seiko 5 Sports","<p>Show your style. Make your move. For over 50 years, Seiko 5 Sports has delivered consistently high levels of reliability, durability, and performance. For dependable timekeeping in your everyday life, this exceptional watch is powered by an automatic movement with a power reserve of approximately 41 hours and features a day/date calendar, LumiBrite hands and markers, and a see-through caseback. With a gold tone-on-tone stainless steel case, bracelet, and metallic dial framed by a rotating bezel, this versatile watch is 100 meter water resistant- perfect for your style no matter what your day has in store.</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.4,46,Stainless steel case with gold finish,Stainless steel bracelet,"10 bar, 100 meters (330 feet)",Bezel,Seiko 5 Sports,Manual and automatic winding capabilities,Metallic gold-tone dial,Gold-tone unidirectional rotating bezel,Day/date calendar
SRPE99,SRPE99,575,Prospex,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPE99_1_3549d974-8c7b-4317-86bf-3a06709b9729.png?v=1757428109,Stainless Steel,45,Blue,Men's,22,,Automatic,4R36,4R3CD_2306,Prospex,"Stainless Steel, 45, Blue, Men's, 22, Automatic, 4R36, 4R3CD_2306, Prospex","<p>Prospex PADI Special Edition Diver's Watch. Designed for those who treat life as the ultimate adventure, Seiko Prospex keeps moving forward, meeting every challenge with technological excellence and winning design. As part of Seiko's partnership with PADI and Inspired by signature PADI colors, this vibrant Special Edition features a red and blue uni-directional rotating elapsed timing bezel framing a bold blue dial. The 24-jewel automatic movement beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 41 hours, and offers manual winding capability. Based on an iconic Seiko case design, this rugged and stylish watch follows ISO standards for scuba diving at depths of up to 200 meters. Crafted of stainless steel, with screw-down crown and caseback, date calendar, LumiBrite hands and markers, and tri-fold push button release clasp with secure lock and extender. 200m Water Resistant</p>",Caliber 4R36,"21,600 vibrations per hour",24 jewels,13.42,,Stainless steel case,Stainless steel bracelet,"200 meters (660 feet), follows ISO standards and is suitable for scuba diving",Turtle1,PADI Special Edition,Automatic Diver,Manual and automatic winding capabilities,One-way rotating elapsed timing bezel,LumiBrite hands and markers
SRPF53,SRPF53,550,Presage,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPF53_1.png?v=1757428089,Stainless Steel,41.7,Light Blue,Men's,,,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 41.7, Light Blue, Men's, Automatic, 4R35, JSY4RCC2, Presage","<p>From the Presage Japanese Garden Collection. Offering the finest in Japanese mechanical watchmaking, the Presage Collection blends precision technology with superior craftsmanship and design. From a group inspired by the serenity of a traditional Japanese garden, this elegant US exclusive timepiece features a patterned light blue dial with textured indices evoking stepping stone paths, as well as a dual-curved sapphire crystal, blue second hand, and date calendar. The screwdown see-through caseback provides a view of the 23-jewel movement with manual and automatic winding capability, a frequency of 21,600 vibrations per hour and a power reserve of approximately 41 hours. Crafted of stainless steel, with deployment clasp and push button release. 3 bar, 30M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.7,,Stainless steel case,Stainless steel bracelet,"3 bar, 30 meters (100 feet)",Jgarden1,Presage Japanese Garden Collection,U.S. Exclusive,Inspired by the serenity of a Japanese Garden,Fine mechanical watchmaking from Japan,Manual and automatic winding capabilities
SRPF54,SRPF54,550,Presage,Watch,Seikousa ,400,g,20,active,https://cdn.shopify.com/s/files/1/0878/7660/0115/files/SRPF54_1.png?v=1757428090,Stainless Steel,33.8,Pink,Ladies,17,,Automatic,4R35,JSY4RCC2,Presage,"Stainless Steel, 33.8, Pink, Ladies, 17, Automatic, 4R35, JSY4RCC2, Presage","<p>Seiko Presage Cocktail Time. Offering the finest in Japanese mechanical watchmaking, the Presage Collection blends precision technology with superior craftsmanship and design. Offering a feminine twist to the popular Cocktail theme line, this charming watch, inspired by the Pink Champagne cocktail, features a pink dial with a pressed pattern evoking crushed ice and a sugar garnish. The 23-jewel movement, with manual and automatic winding capability, beats at a frequency of 21,600 vibrations per hour, with a power reserve of approximately 41 hours. Crafted of stainless steel with rose-gold two-tone finish, this distinctive timepiece includes a calendar, box-shaped crystal, screwdown see-through caseback, and tri-fold push button release clasp. 5 bar, 50M Water Resistant</p>",Caliber 4R35,"21,600 vibrations per hour",23 jewels,11.3,,Stainless steel case with two-tone rose gold finish,Rose-gold two-tone stainless steel bracelet,"5 bar, 50 meters (165 feet)",Cocktail2,Seiko Presage Cocktail Time,Inspired by the classic Pink Champagne cocktail,Fine mechanical watchmaking from Japan,Manual and automatic winding capabilities,Pink dial with pressed pattern and gloss finish
